Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Retention In ER Lumen (GO:0006621)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	KDELR3
Negative Regulation Of Circadian Rhythm (GO:0042754)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	CRY1
Membrane Lipid Biosynthetic Process (GO:0046467)	2/57	0.039322272201135954	0.2021955890105748	0	0	6.678451178451178	21.611228911280797	ORMDL2;SGMS2
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	3/137	0.039940136071190985	0.20246920438514227	0	0	4.13363091086623	13.311835626469597	CRY1;TRIB3;CALR
L-arginine Transmembrane Transport (GO:1903826)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	SLC7A1
UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	PGM3
Negative Regulation Of Retrograde Protein Transport, ER To Cytosol (GO:1904153)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	DERL3
Regulation Of Mitochondrial Gene Expression (GO:0062125)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	SHMT2
Basic Amino Acid Transmembrane Transport (GO:1990822)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	SLC7A1
Positive Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903589)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	HMOX1
Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	WNT5A
Vitamin K Metabolic Process (GO:0042373)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	GGCX
Positive Regulation Of Protein Kinase C Signaling (GO:0090037)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	WNT5A
Maintenance Of Apical/Basal Cell Polarity (GO:0035090)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	WDR1
Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045199)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	WDR1
Manganese Ion Transport (GO:0006828)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	SLC39A14
Protein Localization To Perinuclear Region Of Cytoplasm (GO:1905719)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	SQSTM1
ncRNA Export From Nucleus (GO:0097064)	1/8	0.04316944138193159	0.20246920438514227	0	0	26.05897771952818	81.8935273489654	XPOT
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	2/61	0.044457190044568815	0.20246920438514227	0	0	6.224419334588826	19.37804013099153	SYVN1;HYOU1
Positive Regulation Of Cellular Process (GO:0048522)	7/594	0.04569711270574053	0.20246920438514227	0	0	2.2348456029506623	6.8961081368385955	CCND2;PHF10;CCKBR;TPM1;NUPR1;CALR;FAM98A
Phosphatidylinositol-Mediated Signaling (GO:0048015)	2/62	0.04577785705893058	0.20246920438514227	0	0	6.12037037037037	18.874945429087237	PITPNM2;KCNH1
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	2/63	0.047112903370145426	0.20246920438514227	0	0	6.0197328476017	18.39153811238605	CCND2;EIF4EBP1
Regulation Of Cellular Catabolic Process (GO:0031329)	2/63	0.047112903370145426	0.20246920438514227	0	0	6.0197328476017	18.39153811238605	TRIB3;NUPR1
Protein Glycosylation (GO:0006486)	3/147	0.047532881521259285	0.20246920438514227	0	0	3.8446261682242993	11.712013740670258	GMPPB;B3GNT9;PGM3
Regulation Of Ceramide Biosynthetic Process (GO:2000303)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	ORMDL2
Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	HSPA5
Negative Regulation Of Leukocyte Migration (GO:0002686)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	HMOX1
Negative Regulation Of Protein Exit From Endoplasmic Reticulum (GO:0070862)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	DERL3
Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	WNT5A
Amino Sugar Biosynthetic Process (GO:0046349)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	PGM3
Autophagy Of Peroxisome (GO:0030242)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SQSTM1
Ornithine Metabolic Process (GO:0006591)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	ALDH18A1
Response To Type I Interferon (GO:0034340)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SHMT2
Dosage Compensation (GO:0007549)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	RBM15B
Serine Family Amino Acid Catabolic Process (GO:0009071)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SHMT2
Excitatory Synapse Assembly (GO:1904861)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	WNT5A
Iron Ion Transmembrane Transport (GO:0034755)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SLC39A14
Leucine Transport (GO:0015820)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SLC6A17
Postsynapse Assembly (GO:0099068)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	WNT5A
Purine Nucleobase Metabolic Process (GO:0006144)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	SHMT2
Quinone Metabolic Process (GO:1901661)	1/9	0.04843410188094173	0.20246920438514227	0	0	22.80045871559633	69.02955452716058	GGCX
Protein N-linked Glycosylation (GO:0006487)	2/64	0.04846213407607548	0.20246920438514227	0	0	5.922341696535245	17.926765608993534	DERL3;PGM3
Regulation Of Translational Initiation (GO:0006446)	2/65	0.04982535596185024	0.20716858531506152	0	0	5.828042328042328	17.47964678537906	DNAJC3;EIF4EBP1
Positive Regulation Of Cell Population Proliferation (GO:0008284)	6/483	0.05059442729020062	0.20728569049453185	0	0	2.347968069666183	7.006134422144695	CCND2;CCKBR;WNT5A;HMOX1;CALR;FAM98A
Negative Regulation Of Dephosphorylation (GO:0035305)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	PPP1R15A
Negative Regulation Of Glycolytic Process (GO:0045820)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
Negative Regulation Of Programmed Necrotic Cell Death (GO:0062099)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	PGM3
Branched-Chain Amino Acid Transport (GO:0015803)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	SLC6A17
Regulation Of Programmed Necrotic Cell Death (GO:0062098)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
Positive Regulation Of Cellular Respiration (GO:1901857)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
Glycine Transport (GO:0015816)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	SLC6A17
Hematopoietic Stem Cell Proliferation (GO:0071425)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	WNT5A
Heme Catabolic Process (GO:0042167)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	HMOX1
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	HSPA5
Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	WNT5A
Muscle Filament Sliding (GO:0030049)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	TPM1
Negative Regulation Of Autophagosome Assembly (GO:1902902)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010665)	1/10	0.05367005795312965	0.20728569049453185	0	0	20.26605504587156	59.276184666906936	NUPR1
B Cell Differentiation (GO:0030183)	2/68	0.053997061252720406	0.20762586826820367	0	0	5.562289562289562	16.235353475754195	SYVN1;DNAJB9
Cellular Response To Calcium Ion (GO:0071277)	2/69	0.055414348638086454	0.21055356666337005	0	0	5.478993919292427	15.850273107359483	WNT5A;KCNH1
Sensory Organ Development (GO:0007423)	2/70	0.05684468576125915	0.21055356666337005	0	0	5.398148148148148	15.478825663346583	SMOC1;BHLHA15
Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	2/70	0.05684468576125915	0.21055356666337005	0	0	5.398148148148148	15.478825663346583	CRY1;SLC39A14
Regulation Of Epithelial Cell Apoptotic Process (GO:1904035)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	NUPR1
Negative Regulation Of Myotube Differentiation (GO:0010832)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	BHLHA15
RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	FAM98A
Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010642)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	NDRG4
Regulation Of Mesenchymal Cell Proliferation (GO:0010464)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	WNT5A
Regulation Of Muscle System Process (GO:0090257)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	TPM1
Polyamine Metabolic Process (GO:0006595)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	SRM
Dosage Compensation By Inactivation Of X Chromosome (GO:0009048)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	RBM15B
tRNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0006388)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	FAM98A
Glutamine Family Amino Acid Biosynthetic Process (GO:0009084)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	ALDH18A1
Positive Regulation Of Protein Localization To Chromosome, Telomeric Region (GO:1904816)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	GNL3
Presynapse Organization (GO:0099172)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	WNT5A
Regulation Of Actin Filament Depolymerization (GO:0030834)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	WDR1
Regulation Of Cell Cycle Checkpoint (GO:1901976)	1/11	0.058877464556040184	0.21055356666337005	0	0	18.238532110091743	51.65693734856973	CRY1
Cellular Response To Hypoxia (GO:0071456)	2/72	0.05974377707051506	0.21208144121522424	0	0	5.243386243386244	14.774238258489508	HMOX1;HYOU1
Nitrogen Compound Transport (GO:0071705)	3/163	0.06103889141154649	0.21208144121522424	0	0	3.4573598130841123	9.667621819331409	SLC1A4;SLC7A1;HSP90B1
Cellular Response To Decreased Oxygen Levels (GO:0036294)	2/73	0.06121216914875539	0.21208144121522424	0	0	5.169274908711529	14.439900433305798	HMOX1;HYOU1
Cellular Response To Reactive Oxygen Species (GO:0034614)	2/73	0.06121216914875539	0.21208144121522424	0	0	5.169274908711529	14.439900433305798	TPM1;SQSTM1
Positive Regulation Of Lymphocyte Proliferation (GO:0050671)	2/74	0.06269288671547746	0.21208144121522424	0	0	5.097222222222222	14.116794089396574	VAV3;SLC7A1
NADPH Regeneration (GO:0006740)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	ALDH1L2
Actin-Myosin Filament Sliding (GO:0033275)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	TPM1
Biogenic Amine Metabolic Process (GO:0006576)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	SRM
Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	NDRG4
Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	CALR
Regulation Of Retrograde Protein Transport, ER To Cytosol (GO:1904152)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	DERL3
Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0043618)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	HMOX1
Porphyrin-Containing Compound Catabolic Process (GO:0006787)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	HMOX1
Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	TPM1
Positive Regulation Of T Cell Chemotaxis (GO:0010820)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	WNT5A
Sphingomyelin Metabolic Process (GO:0006684)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	SGMS2
Positive Regulation Of Neuroinflammatory Response (GO:0150078)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	NUPR1
Positive Regulation Of Ruffle Assembly (GO:1900029)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	FAM98A
Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586)	1/12	0.06405647581143355	0.21208144121522424	0	0	16.579649708090074	45.56071409135395	HMOX1
Regulation Of Fat Cell Differentiation (GO:0045598)	2/75	0.06418575263475716	0.21208144121522424	0	0	5.027143581938103	13.804405643119498	WNT5A;TRIB3
Actomyosin Structure Organization (GO:0031032)	2/77	0.06720722864368658	0.21711586988672277	0	0	4.892592592592592	13.209875082989827	WDR1;TPM1
Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)	2/77	0.06720722864368658	0.21711586988672277	0	0	4.892592592592592	13.209875082989827	WNT5A;HMOX1
Sphingolipid Biosynthetic Process (GO:0030148)	2/77	0.06720722864368658	0.21711586988672277	0	0	4.892592592592592	13.209875082989827	ORMDL2;SGMS2
Monoatomic Cation Homeostasis (GO:0055080)	2/77	0.06720722864368658	0.21711586988672277	0	0	4.892592592592592	13.209875082989827	HMOX1;SLC39A14
GTP Metabolic Process (GO:0046039)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	ENTPD7
Regulation Of Leukocyte Migration (GO:0002685)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	HMOX1
Regulation Of Macrophage Cytokine Production (GO:0010935)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	WNT5A
Negative Regulation Of Translational Initiation (GO:0045947)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	EIF4EBP1
Regulation Of Trophoblast Cell Migration (GO:1901163)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	CALR
Chondroitin Sulfate Biosynthetic Process (GO:0030206)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	CHPF2
Secondary Palate Development (GO:0062009)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	WNT5A
Endoplasmic Reticulum Mannose Trimming (GO:1904380)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	SYVN1
Inhibitory Synapse Assembly (GO:1904862)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	WNT5A
Regulation Of T Cell Chemotaxis (GO:0010819)	1/13	0.06920724506170564	0.21711586988672277	0	0	15.197247706422019	40.586525399028744	WNT5A
Monoatomic Cation Transmembrane Transport (GO:0098655)	4/281	0.06960149033037608	0.21756724855070794	0	0	2.6718888359103605	7.120501718251045	SLC24A3;SLC6A17;SLC39A14;KCNH1
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322)	2/79	0.0702752107191517	0.2181596610063277	0	0	4.765031265031265	12.652759839199813	CRY1;GNL3
Neuron Differentiation (GO:0030182)	3/173	0.07029310135992146	0.2181596610063277	0	0	3.2523364485981308	8.635218715080857	WNT5A;BHLHA15;MANF
Inorganic Cation Transmembrane Transport (GO:0098662)	4/284	0.07176002106511455	0.22191978044692007	0	0	2.642857142857143	6.96241624315985	SLC24A3;SLC6A17;SLC39A14;KCNH1
Cellular Response To Oxygen-Containing Compound (GO:1901701)	5/406	0.07355423389847202	0.22196805728373267	0	0	2.3143332145825912	6.039790070598262	TPM1;WNT5A;SQSTM1;KCNH1;HSP90B1
2-Oxoglutarate Metabolic Process (GO:0006103)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	GPT2
Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	TRIB3
Regulation Of Neuron Projection Arborization (GO:0150011)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	WNT5A
Cellular Response To ATP (GO:0071318)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	HSP90B1
Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	SQSTM1
Genitalia Development (GO:0048806)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	WNT5A
Glucosamine-Containing Compound Metabolic Process (GO:1901071)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	PGM3
Positive Regulation Of Response To Cytokine Stimulus (GO:0060760)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	WNT5A
Positive Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060340)	1/14	0.07432992482113487	0.22196805728373267	0	0	14.027522935779816	36.46092188437438	WNT5A
Sodium Ion Transmembrane Transport (GO:0035725)	2/82	0.07496140910616701	0.2230872072371888	0	0	4.585648148148148	11.880413961162596	SLC24A3;SLC6A17
Positive Regulation Of Double-Strand Break Repair (GO:2000781)	2/84	0.07813974812704097	0.22946402144416042	0	0	4.473351400180668	11.403719743239977	PHF10;MORF4L2
Positive Regulation Of Protein Ubiquitination (GO:0031398)	2/84	0.07813974812704097	0.22946402144416042	0	0	4.473351400180668	11.403719743239977	CRY1;TRIB3
Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236)	1/15	0.0794246668384852	0.22946402144416042	0	0	13.024901703800786	32.99137649388919	SYVN1
Negative Regulation Of Gluconeogenesis (GO:0045721)	1/15	0.0794246668384852	0.22946402144416042	0	0	13.024901703800786	32.99137649388919	CRY1
Regulation Of Systemic Arterial Blood Pressure (GO:0003073)	1/15	0.0794246668384852	0.22946402144416042	0	0	13.024901703800786	32.99137649388919	ADM2
Positive Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045737)	1/15	0.0794246668384852	0.22946402144416042	0	0	13.024901703800786	32.99137649388919	CCND2
Presynapse Assembly (GO:0099054)	1/15	0.0794246668384852	0.22946402144416042	0	0	13.024901703800786	32.99137649388919	WNT5A
Positive Regulation Of Endothelial Cell Migration (GO:0010595)	2/85	0.0797446886952088	0.22946402144416042	0	0	4.419232485497545	11.17590812751941	WNT5A;CALR
Positive Regulation Of Protein Localization (GO:1903829)	2/85	0.0797446886952088	0.22946402144416042	0	0	4.419232485497545	11.17590812751941	WNT5A;GNL3
Macromolecule Catabolic Process (GO:0009057)	2/85	0.0797446886952088	0.22946402144416042	0	0	4.419232485497545	11.17590812751941	ISG20;SQSTM1
Regulation Of Cell Cycle (GO:0051726)	4/298	0.08228086102632083	0.23270684137296424	0	0	2.5152098575279167	6.282030269081448	PPP1R15A;MORF4L2;NUPR1;CALR
Negative Regulation Of Phosphatase Activity (GO:0010923)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	PPP1R15A
Regulation Of Protein Kinase C Signaling (GO:0090036)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	WNT5A
Regulation Of Response To Cytokine Stimulus (GO:0060759)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	WNT5A
Regulation Of Secretion (GO:0051046)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	PTPRN
Chondroitin Sulfate Metabolic Process (GO:0030204)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	CHPF2
Positive Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090050)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	HMOX1
Dicarboxylic Acid Catabolic Process (GO:0043649)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	ALDH1L2
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	WNT5A
Protein Alpha-1,2-Demannosylation (GO:0036508)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	SYVN1
Maturation Of 5.8S rRNA (GO:0000460)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	MPHOSPH6
Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903587)	1/16	0.08449162203395892	0.23270684137296424	0	0	12.155963302752294	30.038636134005245	HMOX1
Regulation Of Double-Strand Break Repair (GO:2000779)	2/88	0.08462066959016881	0.23270684137296424	0	0	4.26442721791559	10.531330184973264	PHF10;MORF4L2
Regulation Of Endothelial Cell Migration (GO:0010594)	2/88	0.08462066959016881	0.23270684137296424	0	0	4.26442721791559	10.531330184973264	WNT5A;CALR
Organic Anion Transport (GO:0015711)	2/89	0.08626585647226409	0.23364080276259755	0	0	4.215197956577267	10.328589744795556	SLC35A2;CYB5R1
Sodium Ion Transport (GO:0006814)	2/89	0.08626585647226409	0.23364080276259755	0	0	4.215197956577267	10.328589744795556	SLC24A3;SLC6A17
Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800)	2/90	0.08792071356711116	0.23364080276259755	0	0	4.167087542087542	10.131522669534114	TRIB3;NUPR1
Regulation Of Cellular Respiration (GO:0043457)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	SHMT2
Regulation Of Glucose Transmembrane Transport (GO:0010827)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	TRIB3
Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	BHLHA15
Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	TPM1
Regulation Of Protein Sumoylation (GO:0033233)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	GNL3
Cellular Response To Glucocorticoid Stimulus (GO:0071385)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	PCK2
Embryonic Heart Tube Development (GO:0035050)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	NDRG4
Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	WNT5A
Positive Regulation Of Macrophage Activation (GO:0043032)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	WNT5A
Triglyceride Biosynthetic Process (GO:0019432)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	PCK2
Intracellular Zinc Ion Homeostasis (GO:0006882)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	SLC39A14
Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	HSPA5
Purine-Containing Compound Biosynthetic Process (GO:0072522)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	SHMT2
Regulation Of Aerobic Respiration (GO:1903715)	1/17	0.08953094052928076	0.23364080276259755	0	0	11.395642201834862	27.499633392746567	SHMT2
Positive Regulation Of Neuron Projection Development (GO:0010976)	2/92	0.09125882474809169	0.23563542405908444	0	0	4.074074074074074	9.75355977700083	NDRG4;WNT5A
Positive Regulation Of Protein Catabolic Process (GO:0045732)	2/92	0.09125882474809169	0.23563542405908444	0	0	4.074074074074074	9.75355977700083	WNT5A;NUPR1
Protein O-linked Glycosylation (GO:0006493)	2/93	0.09294177540479952	0.23563542405908444	0	0	4.029100529100529	9.572264726001286	B3GNT9;PGM3
Negative Regulation Of Amide Metabolic Process (GO:0034249)	2/93	0.09294177540479952	0.23563542405908444	0	0	4.029100529100529	9.572264726001286	ORMDL2;CALR
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	CALR
Neuron Fate Commitment (GO:0048663)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	BHLHA15
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	CALR
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	SLC39A14
Response To Organophosphorus (GO:0046683)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	VGF
Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031)	1/18	0.0945427716606664	0.23563542405908444	0	0	10.724770642201834	25.296548009342803	CCND2
